SUMLEV,REGION,DIVISION,state_code,states,POP
40,3,6,1,AL,4779736
40,4,9,2,AK,710231
40,4,8,4,AZ,6392017
40,3,7,5,AR,2915918
40,4,9,6,CA,37253956
40,4,8,8,CO,5029196
40,1,1,9,CT,3574097
40,3,5,10,DE,897934
40,3,5,11,DC,601723
40,3,5,12,FL,18801310
40,3,5,13,GA,9687653
40,4,9,15,HI,1360301
40,4,8,16,ID,1567582
40,2,3,17,IL,12830632
40,2,3,18,IN,6483802
40,2,4,19,IA,3046355
40,2,4,20,KS,2853118
40,3,6,21,KY,4339367
40,3,7,22,LA,4533372
40,1,1,23,ME,1328361
40,3,5,24,MD,5773552
40,1,1,25,MA,6547629
40,2,3,26,MI,9883640
40,2,4,27,MN,5303925
40,3,6,28,MS,2967297
40,2,4,29,MO,5988927
40,4,8,30,MT,989415
40,2,4,31,NE,1826341
40,4,8,32,NV,2700551
40,1,1,33,NH,1316470
40,1,2,34,NJ,8791894
40,4,8,35,NM,2059179
40,1,2,36,NY,19378102
40,3,5,37,NC,9535483
40,2,4,38,ND,672591
40,2,3,39,OH,11536504
40,3,7,40,OK,3751351
40,4,9,41,OR,3831074
40,1,2,42,PA,12702379
40,1,1,44,RI,1052567
40,3,5,45,SC,4625364
40,2,4,46,SD,814180
40,3,6,47,TN,6346105
40,3,7,48,TX,25145561
40,4,8,49,UT,2763885
40,1,1,50,VT,625741
40,3,5,51,VA,8001024
40,4,9,53,WA,6724540
40,3,5,54,WV,1852994
40,2,3,55,WI,5686986
40,4,8,56,WY,563626
40,X,X,72,PR,3725789
